,facility,city,Code,website,href
88,casa,bogota,9947-2817,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-cuarto-de-legua-guadalupe-1-habitaciones-5-banos/9947-2817
89,casa,bogota,3406-M3399625,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-santa-anita-la-selva-4-habitaciones-3-banos-1-garajes/3406-M3399625
90,casa,bogota,835-M3392458,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-la-base-5-habitaciones-4-banos-2-garajes/835-M3392458
91,casa,bogota,835-13209,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-ciudad-real-5-habitaciones-5-banos-1-garajes/835-13209
92,casa,bogota,860-M3728146,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-corregimiento-la-castilla-4-habitaciones-4-banos-4-garajes/860-M3728146
93,casa,bogota,277-M3815567,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-4-habitaciones-5-banos-4-garajes/277-M3815567
94,casa,bogota,277-M3815788,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-santa-rosa-4-habitaciones-5-banos-4-garajes/277-M3815788
95,casa,bogota,4976-115684,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-urbanizacia%C2%B3n-la-merced-3-habitaciones-2-banos-1-garajes/4976-115684
96,casa,bogota,242-M3818807,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-5-habitaciones-5-banos-2-garajes/242-M3818807
97,casa,bogota,14280-M3894353,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-n.n.-5-habitaciones-5-banos-1-garajes/14280-M3894353
98,casa,bogota,835-M3478587,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-el-diamante-5-habitaciones-5-banos-3-garajes/835-M3478587
